,Country,Year,variable,value
636,BM,2000,Male 0-4,0.0
637,BM,2001,Male 0-4,0.0
638,BM,2002,Male 0-4,0.0
639,BM,2003,Male 0-4,0.0
640,BM,2004,Male 0-4,0.0
641,BM,2005,Male 0-4,0.0
642,BM,2006,Male 0-4,0.0
643,BM,2007,Male 0-4,0.0
644,BM,2008,Male 0-4,0.0
645,BN,1980,Male 0-4,0.0
646,BN,1981,Male 0-4,0.0
647,BN,1982,Male 0-4,0.0
648,BN,1983,Male 0-4,0.0
649,BN,1984,Male 0-4,0.0
650,BN,1985,Male 0-4,0.0
651,BN,1986,Male 0-4,0.0
652,BN,1987,Male 0-4,0.0
653,BN,1988,Male 0-4,0.0
654,BN,1989,Male 0-4,0.0
655,BN,1990,Male 0-4,0.0
656,BN,1992,Male 0-4,0.0
657,BN,1993,Male 0-4,0.0
658,BN,1997,Male 0-4,0.0
659,BN,1998,Male 0-4,0.0
660,BN,1999,Male 0-4,0.0
661,BN,2000,Male 0-4,0.0
662,BN,2001,Male 0-4,0.0
663,BN,2002,Male 0-4,0.0
664,BN,2003,Male 0-4,0.0
665,BN,2004,Male 0-4,0.0
666,BN,2005,Male 0-4,0.0
667,BN,2006,Male 0-4,0.0
668,BN,2007,Male 0-4,0.0
669,BN,2008,Male 0-4,0.0
670,BO,1980,Male 0-4,0.0
671,BO,1981,Male 0-4,0.0
672,BO,1982,Male 0-4,0.0
673,BO,1983,Male 0-4,0.0
674,BO,1984,Male 0-4,0.0
675,BO,1985,Male 0-4,0.0
676,BO,1986,Male 0-4,0.0
677,BO,1987,Male 0-4,0.0
678,BO,1988,Male 0-4,0.0
679,BO,1989,Male 0-4,0.0
680,BO,1990,Male 0-4,0.0
681,BO,1991,Male 0-4,0.0
682,BO,1992,Male 0-4,0.0
683,BO,1993,Male 0-4,0.0
684,BO,1994,Male 0-4,0.0
685,BO,1995,Male 0-4,0.0
686,BO,1996,Male 0-4,0.0
687,BO,1997,Male 0-4,0.0
688,BO,1998,Male 0-4,0.0
689,BO,1999,Male 0-4,0.0
690,BO,2000,Male 0-4,0.0
691,BO,2001,Male 0-4,0.0
692,BO,2002,Male 0-4,0.0
693,BO,2003,Male 0-4,0.0
694,BO,2004,Male 0-4,0.0
695,BO,2005,Male 0-4,0.0
696,BO,2006,Male 0-4,0.0
697,BO,2007,Male 0-4,0.0
698,BO,2008,Male 0-4,0.0
699,BR,1980,Male 0-4,0.0
700,BR,1981,Male 0-4,0.0
701,BR,1982,Male 0-4,0.0
702,BR,1983,Male 0-4,0.0
703,BR,1984,Male 0-4,0.0
704,BR,1985,Male 0-4,0.0
705,BR,1986,Male 0-4,0.0
706,BR,1987,Male 0-4,0.0
707,BR,1988,Male 0-4,0.0
708,BR,1989,Male 0-4,0.0
709,BR,1990,Male 0-4,0.0
710,BR,1991,Male 0-4,0.0
711,BR,1992,Male 0-4,0.0
712,BR,1994,Male 0-4,0.0
713,BR,1995,Male 0-4,0.0
714,BR,1996,Male 0-4,0.0
715,BR,1997,Male 0-4,0.0
716,BR,1998,Male 0-4,0.0
717,BR,1999,Male 0-4,0.0
718,BR,2000,Male 0-4,0.0
719,BR,2001,Male 0-4,0.0
720,BR,2002,Male 0-4,0.0
721,BR,2003,Male 0-4,0.0
722,BR,2004,Male 0-4,0.0
723,BR,2005,Male 0-4,0.0
724,BR,2006,Male 0-4,136.0
725,BR,2007,Male 0-4,175.0
726,BR,2008,Male 0-4,115.0
727,BS,1980,Male 0-4,0.0
728,BS,1981,Male 0-4,0.0
729,BS,1982,Male 0-4,0.0
730,BS,1983,Male 0-4,0.0
731,BS,1984,Male 0-4,0.0
